Group,LENGTH,WIDTH,TRILENGTH,TRIWIDTH,PTDLENGTH,HTHPD,HTMTD,HTPAD,HTMCC
5,1.32,0.61,1.07,0.55,0.58,0.43,0.79,0.71,0.35
5,1.23,0.56,0.99,0.5,0.53,0.37,0.7,0.64,0.28
5,1.1,0.63,0.91,0.58,0.44,0.49,0.84,0.85,0.44
5,1.35,0.73,1.11,0.66,0.51,0.47,0.87,0.83,0.45
5,1.37,0.78,1.08,0.72,0.51,0.56,0.96,0.94,0.55
5,1.23,0.59,0.99,0.56,0.54,0.49,0.76,0.75,0.39
5,1.4,0.68,1.11,0.61,0.59,0.5,0.88,0.81,0.4
5,1.16,0.55,1.01,0.51,0.51,0.33,0.63,0.62,0.31
5,1.35,0.64,1.11,0.58,0.57,0.43,0.8,0.74,0.37
5,0.94,0.51,0.76,0.47,0.35,0.33,0.61,0.65,0.32
5,1.22,0.64,0.97,0.59,0.46,0.51,0.85,0.76,0.39
5,1.15,0.49,0.95,0.44,0.43,0.32,0.62,0.59,0.3
5,1.18,0.53,1.02,0.49,0.51,0.3,0.7,0.62,0.25
5,1.13,0.6,0.83,0.53,0.41,0.42,0.73,0.8,0.47
5,1.3,0.65,1.07,0.6,0.54,0.38,0.77,0.73,0.34
5,1.01,0.57,1.04,0.54,0.55,0.33,0.71,0.66,0.29
5,1.15,0.7,0.87,0.66,0.43,0.56,0.85,0.89,0.52
5,1.16,0.67,0.89,0.61,0.43,0.48,0.79,0.79,0.45
5,1.25,0.59,1.05,0.54,0.53,0.35,0.73,0.68,0.31
5,1.07,0.61,0.8,0.57,0.39,0.45,0.74,0.78,0.46
5,1.13,0.57,1,0.55,0.48,0.28,0.7,0.6,0.24
5,1.16,0.61,0.99,0.58,0.53,0.41,0.69,0.62,0.31
5,1.16,0.53,0.97,0.49,0.51,0.34,0.67,0.68,0.27
5,1.17,0.64,0.97,0.6,0.47,0.35,0.73,0.69,0.35
5,1.11,0.42,0.93,0.39,0.48,0.33,0.59,0.55,0.28
5,1.11,0.45,0.93,0.4,0.47,0.34,0.6,0.54,0.28
